===2023-06-03 16:50:00===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[18,26,39,57,85,125,183,270,397,584,41,60,89,131,192,283,416,66,97,143,210,309,121,178,262,154,227,259,176,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2980,2027,1378,937,637,433,294,]
label set of clients: [7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = -1
============ Train epoch 0 ============
denominator: 63554.38671875
 Site-White                    | Train Loss: 2.1339 | Train Acc: 0.2778
 Site-White                    | Train Loss: 2.1731 | Train Acc: 0.1538
 Site-White                    | Train Loss: 2.1477 | Train Acc: 0.2821
 Site-White                    | Train Loss: 2.1443 | Train Acc: 0.1228
 Site-White                    | Train Loss: 2.1612 | Train Acc: 0.2000
 Site-White                    | Train Loss: 2.1563 | Train Acc: 0.1680
 Site-White                    | Train Loss: 2.1576 | Train Acc: 0.1803
 Site-White                    | Train Loss: 2.1516 | Train Acc: 0.1741
 Site-White                    | Train Loss: 2.1530 | Train Acc: 0.1688
 Site-White                    | Train Loss: 2.1533 | Train Acc: 0.1935
 Site-Latino_Hispanic          | Train Loss: 2.1593 | Train Acc: 0.1463
 Site-Latino_Hispanic          | Train Loss: 2.1773 | Train Acc: 0.1333
 Site-Latino_Hispanic          | Train Loss: 2.1604 | Train Acc: 0.1685
 Site-Latino_Hispanic          | Train Loss: 2.1273 | Train Acc: 0.1756
 Site-Latino_Hispanic          | Train Loss: 2.1695 | Train Acc: 0.1354
 Site-Latino_Hispanic          | Train Loss: 2.1629 | Train Acc: 0.1731
 Site-Latino_Hispanic          | Train Loss: 2.1659 | Train Acc: 0.1683
 Site-Black                    | Train Loss: 2.1517 | Train Acc: 0.1061
 Site-Black                    | Train Loss: 2.1783 | Train Acc: 0.1237
 Site-Black                    | Train Loss: 2.1887 | Train Acc: 0.1399
 Site-Black                    | Train Loss: 2.1854 | Train Acc: 0.1143
 Site-Black                    | Train Loss: 2.1895 | Train Acc: 0.1262
