===2023-05-29 17:12:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
data_number=[18,26,39,57,85,125,183,270,397,584,41,60,89,131,192,283,416,66,97,143,210,309,121,178,262,154,227,259,176,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2980,2027,1378,937,637,433,294,]
label set of clients: [7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = -1
============ Train epoch 0 ============
 Site-White                    | Train Loss: 2.1428 | Train Acc: 0.2222
 Site-White                    | Train Loss: 2.1788 | Train Acc: 0.1538
 Site-White                    | Train Loss: 2.1595 | Train Acc: 0.2051
 Site-White                    | Train Loss: 2.1547 | Train Acc: 0.1404
 Site-White                    | Train Loss: 2.1693 | Train Acc: 0.1647
 Site-White                    | Train Loss: 2.1647 | Train Acc: 0.1440
 Site-White                    | Train Loss: 2.1674 | Train Acc: 0.1530
 Site-White                    | Train Loss: 2.1523 | Train Acc: 0.1593
 Site-White                    | Train Loss: 2.1591 | Train Acc: 0.1436
 Site-White                    | Train Loss: 2.1573 | Train Acc: 0.1558
 Site-Latino_Hispanic          | Train Loss: 2.1645 | Train Acc: 0.1220
 Site-Latino_Hispanic          | Train Loss: 2.1835 | Train Acc: 0.1333
 Site-Latino_Hispanic          | Train Loss: 2.1735 | Train Acc: 0.1461
 Site-Latino_Hispanic          | Train Loss: 2.1191 | Train Acc: 0.1832
 Site-Latino_Hispanic          | Train Loss: 2.1760 | Train Acc: 0.1146
 Site-Latino_Hispanic          | Train Loss: 2.1688 | Train Acc: 0.1555
 Site-Latino_Hispanic          | Train Loss: 2.1699 | Train Acc: 0.1418
 Site-Black                    | Train Loss: 2.1355 | Train Acc: 0.0758
 Site-Black                    | Train Loss: 2.1974 | Train Acc: 0.1134
 Site-Black                    | Train Loss: 2.2006 | Train Acc: 0.1259
 Site-Black                    | Train Loss: 2.1905 | Train Acc: 0.0952
 Site-Black                    | Train Loss: 2.1945 | Train Acc: 0.1165
 Site-East_Asian               | Train Loss: 2.1672 | Train Acc: 0.1322
 Site-East_Asian               | Train Loss: 2.1508 | Train Acc: 0.1910
 Site-East_Asian               | Train Loss: 2.1595 | Train Acc: 0.1412
 Site-Indian                   | Train Loss: 2.1621 | Train Acc: 0.1818
 Site-Indian                   | Train Loss: 2.1771 | Train Acc: 0.1542
 Site-Southeast_Asian          | Train Loss: 2.1692 | Train Acc: 0.1622
 Site-Middle_Eastern           | Train Loss: 2.1712 | Train Acc: 0.2159
 Site-White                         | Val  Loss: 2.2006 | Val  Acc: 0.1667
 Site-White                         | Val  Loss: 2.1796 | Val  Acc: 0.1176
 Site-White                         | Val  Loss: 2.1727 | Val  Acc: 0.1154
 Site-White                         | Val  Loss: 2.1781 | Val  Acc: 0.1316
 Site-White                         | Val  Loss: 2.1496 | Val  Acc: 0.1786
 Site-White                         | Val  Loss: 2.1551 | Val  Acc: 0.2289
