===2023-04-20 19:37:55===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    tune: False
    lambda for constrastive: 0.5
data_number=[35,71,106,142,33,66,100,44,55,33,]
label set of clients: [10, 10, 10, 10, 8, 10, 10, 10, 10, 10, ]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 2.2568 | Train Acc: 0.2571
 Site-MNIST     | Train Loss: 2.2824 | Train Acc: 0.0986
 Site-MNIST     | Train Loss: 2.2718 | Train Acc: 0.1321
 Site-MNIST     | Train Loss: 2.2713 | Train Acc: 0.1127
 Site-SVHN      | Train Loss: 2.2182 | Train Acc: 0.2424
 Site-SVHN      | Train Loss: 2.2729 | Train Acc: 0.1212
 Site-SVHN      | Train Loss: 2.3063 | Train Acc: 0.1000
 Site-USPS      | Train Loss: 2.2786 | Train Acc: 0.1591
 Site-SynthDigits| Train Loss: 2.3081 | Train Acc: 0.0545
 Site-MNIST-M   | Train Loss: 2.2843 | Train Acc: 0.0303
 Site-MNIST     | Val  Loss: 2.2760 | Val  Acc: 0.0435
 Site-MNIST     | Val  Loss: 2.2757 | Val  Acc: 0.1277
 Site-MNIST     | Val  Loss: 2.2858 | Val  Acc: 0.1408
 Site-MNIST     | Val  Loss: 2.2720 | Val  Acc: 0.1277
 Site-SVHN      | Val  Loss: 2.2990 | Val  Acc: 0.0909
 Site-SVHN      | Val  Loss: 2.2961 | Val  Acc: 0.1136
 Site-SVHN      | Val  Loss: 2.2785 | Val  Acc: 0.0909
 Site-USPS      | Val  Loss: 2.2858 | Val  Acc: 0.1034
 Site-SynthDigits| Val  Loss: 2.3305 | Val  Acc: 0.0270
 Site-MNIST-M   | Val  Loss: 2.3164 | Val  Acc: 0.1364
Average Valid Accuracy: 0.1002
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0435
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1277
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1408
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1277
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0909
 Best site-SVHN       | Epoch:0 | Val Acc: 0.1136
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0909
