===2023-05-31 03:11:40===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: True
data_number=[39,52,68,89,117,154,201,264,346,453,154,202,]
client_nums=[10,2,]
len_dataset=[2980,596,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = -1
============ Train epoch 0 ============
 Site-White                    | Train Loss: 2.1451 | Train Acc: 0.1538
 Site-White                    | Train Loss: 2.1378 | Train Acc: 0.3077
 Site-White                    | Train Loss: 2.1647 | Train Acc: 0.2059
 Site-White                    | Train Loss: 2.1556 | Train Acc: 0.1798
 Site-White                    | Train Loss: 2.1452 | Train Acc: 0.2222
 Site-White                    | Train Loss: 2.1528 | Train Acc: 0.2532
 Site-White                    | Train Loss: 2.1527 | Train Acc: 0.2040
 Site-White                    | Train Loss: 2.1626 | Train Acc: 0.1856
 Site-White                    | Train Loss: 2.1570 | Train Acc: 0.2399
 Site-White                    | Train Loss: 2.1618 | Train Acc: 0.2163
 Site-Black                    | Train Loss: 2.2068 | Train Acc: 0.1039
 Site-Black                    | Train Loss: 2.1956 | Train Acc: 0.0990
 Site-White                         | Val  Loss: 2.1797 | Val  Acc: 0.1923
 Site-White                         | Val  Loss: 2.2181 | Val  Acc: 0.1765
 Site-White                         | Val  Loss: 2.1638 | Val  Acc: 0.1556
 Site-White                         | Val  Loss: 2.1522 | Val  Acc: 0.2712
 Site-White                         | Val  Loss: 2.1481 | Val  Acc: 0.2051
 Site-White                         | Val  Loss: 2.1425 | Val  Acc: 0.2549
 Site-White                         | Val  Loss: 2.1573 | Val  Acc: 0.1567
 Site-White                         | Val  Loss: 2.1635 | Val  Acc: 0.1989
 Site-White                         | Val  Loss: 2.1514 | Val  Acc: 0.1826
 Site-White                         | Val  Loss: 2.1528 | Val  Acc: 0.2318
 Site-Black                         | Val  Loss: 2.2209 | Val  Acc: 0.0777
 Site-Black                         | Val  Loss: 2.1996 | Val  Acc: 0.1045
Average Valid Accuracy: 0.1840
 Best site-White                     | Epoch:0 | Val Acc: 0.1923
 Best site-White                     | Epoch:0 | Val Acc: 0.1765
 Best site-White                     | Epoch:0 | Val Acc: 0.1556
 Best site-White                     | Epoch:0 | Val Acc: 0.2712
 Best site-White                     | Epoch:0 | Val Acc: 0.2051
 Best site-White                     | Epoch:0 | Val Acc: 0.2549
 Best site-White                     | Epoch:0 | Val Acc: 0.1567
 Best site-White                     | Epoch:0 | Val Acc: 0.1989
 Best site-White                     | Epoch:0 | Val Acc: 0.1826
 Best site-White                     | Epoch:0 | Val Acc: 0.2318
 Best site-Black                     | Epoch:0 | Val Acc: 0.0777
 Best site-Black                     | Epoch:0 | Val Acc: 0.1045
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_binary_race/fedavg...
============ Train epoch 1 ============
 Site-White                    | Train Loss: 2.0803 | Train Acc: 0.2821
 Site-White                    | Train Loss: 2.0589 | Train Acc: 0.4231
