===2023-04-21 22:41:03===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[23,47,71,94,118,50,44,74,148,33,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 2.2982 | Train Acc: 0.0870
 Site-MNIST     | Train Loss: 2.3056 | Train Acc: 0.1064
 Site-MNIST     | Train Loss: 2.3008 | Train Acc: 0.1127
 Site-MNIST     | Train Loss: 2.2897 | Train Acc: 0.1489
 Site-MNIST     | Train Loss: 2.2901 | Train Acc: 0.1525
 Site-SVHN      | Train Loss: 2.2935 | Train Acc: 0.0800
 Site-USPS      | Train Loss: 2.3161 | Train Acc: 0.1364
 Site-SynthDigits| Train Loss: 2.3187 | Train Acc: 0.0946
 Site-SynthDigits| Train Loss: 2.3134 | Train Acc: 0.0676
 Site-MNIST-M   | Train Loss: 2.3199 | Train Acc: 0.0606
 Site-MNIST     | Val  Loss: 2.2804 | Val  Acc: 0.2667
 Site-MNIST     | Val  Loss: 2.2962 | Val  Acc: 0.1290
 Site-MNIST     | Val  Loss: 2.2990 | Val  Acc: 0.1064
 Site-MNIST     | Val  Loss: 2.2866 | Val  Acc: 0.1746
 Site-MNIST     | Val  Loss: 2.2988 | Val  Acc: 0.1139
 Site-SVHN      | Val  Loss: 2.2983 | Val  Acc: 0.1818
 Site-USPS      | Val  Loss: 2.3194 | Val  Acc: 0.1034
 Site-SynthDigits| Val  Loss: 2.3312 | Val  Acc: 0.0408
 Site-SynthDigits| Val  Loss: 2.3134 | Val  Acc: 0.0714
 Site-MNIST-M   | Val  Loss: 2.3288 | Val  Acc: 0.0455
Average Valid Accuracy: 0.1234
 Best site-MNIST      | Epoch:0 | Val Acc: 0.2667
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1290
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1064
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1746
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1139
 Best site-SVHN       | Epoch:0 | Val Acc: 0.1818
 Best site-USPS       | Epoch:0 | Val Acc: 0.1034
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.0408
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.0714
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.0455
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-2_1/fedavg...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 2.2850 | Train Acc: 0.0870
 Site-MNIST     | Train Loss: 2.2926 | Train Acc: 0.1489
 Site-MNIST     | Train Loss: 2.2922 | Train Acc: 0.1549
 Site-MNIST     | Train Loss: 2.2762 | Train Acc: 0.2128
 Site-MNIST     | Train Loss: 2.2701 | Train Acc: 0.1864
 Site-SVHN      | Train Loss: 2.2899 | Train Acc: 0.1000
 Site-USPS      | Train Loss: 2.3066 | Train Acc: 0.2045
 Site-SynthDigits| Train Loss: 2.3122 | Train Acc: 0.0811
 Site-SynthDigits| Train Loss: 2.3038 | Train Acc: 0.1014
 Site-MNIST-M   | Train Loss: 2.2597 | Train Acc: 0.0606
 Site-MNIST     | Val  Loss: 2.2605 | Val  Acc: 0.2667
 Site-MNIST     | Val  Loss: 2.2811 | Val  Acc: 0.1935
 Site-MNIST     | Val  Loss: 2.2901 | Val  Acc: 0.1702
 Site-MNIST     | Val  Loss: 2.2734 | Val  Acc: 0.2222
 Site-MNIST     | Val  Loss: 2.2820 | Val  Acc: 0.1772
 Site-SVHN      | Val  Loss: 2.2962 | Val  Acc: 0.1818
 Site-USPS      | Val  Loss: 2.3068 | Val  Acc: 0.1379
 Site-SynthDigits| Val  Loss: 2.3256 | Val  Acc: 0.1020
