===2023-06-07 21:18:25===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0.8
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[18,26,39,57,85,125,183,270,397,584,41,60,89,131,192,283,416,66,97,143,210,309,121,178,262,154,227,259,176,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2980,2027,1378,937,637,433,294,]
domain number = 7
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[6, 7, 2, 4, 5, 4, 1, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
enlarge weight of clients:[quan_i=1.00, quan_c=1.00
]
 Site-White                    | Train Loss: 1.6686 | Train Acc: 0.3889
 Site-White                    | Train Loss: 2.0943 | Train Acc: 0.3077
 Site-White                    | Train Loss: 1.6324 | Train Acc: 0.3333
 Site-White                    | Train Loss: 1.8133 | Train Acc: 0.3509
 Site-White                    | Train Loss: 1.8533 | Train Acc: 0.3647
 Site-White                    | Train Loss: 1.8034 | Train Acc: 0.3520
 Site-White                    | Train Loss: 1.8130 | Train Acc: 0.3443
 Site-White                    | Train Loss: 1.8704 | Train Acc: 0.3407
 Site-White                    | Train Loss: 1.8074 | Train Acc: 0.3325
 Site-White                    | Train Loss: 1.8307 | Train Acc: 0.3527
 Site-Latino_Hispanic          | Train Loss: 2.0379 | Train Acc: 0.2927
 Site-Latino_Hispanic          | Train Loss: 1.9540 | Train Acc: 0.2833
 Site-Latino_Hispanic          | Train Loss: 1.9372 | Train Acc: 0.2921
 Site-Latino_Hispanic          | Train Loss: 1.9477 | Train Acc: 0.2901
 Site-Latino_Hispanic          | Train Loss: 1.9938 | Train Acc: 0.2396
 Site-Latino_Hispanic          | Train Loss: 1.9353 | Train Acc: 0.2968
 Site-Latino_Hispanic          | Train Loss: 1.9595 | Train Acc: 0.2548
 Site-Black                    | Train Loss: 1.6919 | Train Acc: 0.2576
 Site-Black                    | Train Loss: 2.1369 | Train Acc: 0.2268
 Site-Black                    | Train Loss: 2.0634 | Train Acc: 0.2098
 Site-Black                    | Train Loss: 1.9691 | Train Acc: 0.2857
 Site-Black                    | Train Loss: 1.9844 | Train Acc: 0.2330
 Site-East_Asian               | Train Loss: 1.7643 | Train Acc: 0.3884
 Site-East_Asian               | Train Loss: 1.8083 | Train Acc: 0.3820
 Site-East_Asian               | Train Loss: 1.7664 | Train Acc: 0.3817
 Site-Indian                   | Train Loss: 2.0921 | Train Acc: 0.2403
 Site-Indian                   | Train Loss: 2.1127 | Train Acc: 0.2335
 Site-Southeast_Asian          | Train Loss: 2.0022 | Train Acc: 0.3205
 Site-Middle_Eastern           | Train Loss: 1.9936 | Train Acc: 0.2557
 Site-White                     (5) | Val  Loss: 2.2376 | Val  Acc: 0.0833
 Site-White                     (0) | Val  Loss: 1.5356 | Val  Acc: 0.4706
 Site-White                     (0) | Val  Loss: 1.6732 | Val  Acc: 0.5000
 Site-White                     (4) | Val  Loss: 1.6437 | Val  Acc: 0.3947
 Site-White                     (0) | Val  Loss: 1.7220 | Val  Acc: 0.3929
 Site-White                     (0) | Val  Loss: 1.7821 | Val  Acc: 0.3735
 Site-White                     (0) | Val  Loss: 1.8561 | Val  Acc: 0.3443
 Site-White                     (3) | Val  Loss: 1.8140 | Val  Acc: 0.3333
 Site-White                     (2) | Val  Loss: 1.9258 | Val  Acc: 0.3409
 Site-White                     (0) | Val  Loss: 1.9276 | Val  Acc: 0.3393
 Site-Latino_Hispanic           (6) | Val  Loss: 1.8342 | Val  Acc: 0.2963
 Site-Latino_Hispanic           (5) | Val  Loss: 1.6779 | Val  Acc: 0.4000
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9628 | Val  Acc: 0.3051
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9364 | Val  Acc: 0.3103
 Site-Latino_Hispanic           (5) | Val  Loss: 1.9940 | Val  Acc: 0.2578
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9533 | Val  Acc: 0.2660
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9392 | Val  Acc: 0.2744
 Site-Black                     (1) | Val  Loss: 2.1567 | Val  Acc: 0.2045
 Site-Black                     (1) | Val  Loss: 2.0284 | Val  Acc: 0.2188
 Site-Black                     (1) | Val  Loss: 2.0639 | Val  Acc: 0.2632
 Site-Black                     (1) | Val  Loss: 1.8958 | Val  Acc: 0.2714
 Site-Black                     (1) | Val  Loss: 1.9435 | Val  Acc: 0.2524
 Site-East_Asian                (3) | Val  Loss: 1.8105 | Val  Acc: 0.4125
 Site-East_Asian                (3) | Val  Loss: 1.6889 | Val  Acc: 0.3898
 Site-East_Asian                (3) | Val  Loss: 1.8427 | Val  Acc: 0.3851
 Site-Indian                    (1) | Val  Loss: 2.1334 | Val  Acc: 0.2353
 Site-Indian                    (1) | Val  Loss: 2.1273 | Val  Acc: 0.2318
 Site-Southeast_Asian           (5) | Val  Loss: 2.0476 | Val  Acc: 0.3237
 Site-Middle_Eastern            (2) | Val  Loss: 1.9592 | Val  Acc: 0.2564
Average Valid Accuracy: 0.3147
 Best site-White                    (5)  | Epoch:0 | Val Acc: 0.0833
 Best site-White                    (0)  | Epoch:0 | Val Acc: 0.4706
 Best site-White                    (0)  | Epoch:0 | Val Acc: 0.5000
 Best site-White                    (4)  | Epoch:0 | Val Acc: 0.3947
 Best site-White                    (0)  | Epoch:0 | Val Acc: 0.3929
 Best site-White                    (0)  | Epoch:0 | Val Acc: 0.3735
 Best site-White                    (0)  | Epoch:0 | Val Acc: 0.3443
 Best site-White                    (3)  | Epoch:0 | Val Acc: 0.3333
 Best site-White                    (2)  | Epoch:0 | Val Acc: 0.3409
 Best site-White                    (0)  | Epoch:0 | Val Acc: 0.3393
 Best site-Latino_Hispanic          (6)  | Epoch:0 | Val Acc: 0.2963
 Best site-Latino_Hispanic          (5)  | Epoch:0 | Val Acc: 0.4000
 Best site-Latino_Hispanic          (4)  | Epoch:0 | Val Acc: 0.3051
 Best site-Latino_Hispanic          (4)  | Epoch:0 | Val Acc: 0.3103
