===2023-04-20 17:48:34===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    tune: False
    lambda for constrastive: 0.5
data_number=[59,118,37,74,52,104,44,88,29,58,]
label set of clients: [10, 10, 9, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 2.2727 | Train Acc: 0.1864
 Site-MNIST     | Train Loss: 2.2880 | Train Acc: 0.1356
 Site-SVHN      | Train Loss: 2.2567 | Train Acc: 0.2432
 Site-SVHN      | Train Loss: 2.3072 | Train Acc: 0.0946
 Site-USPS      | Train Loss: 2.2598 | Train Acc: 0.1538
 Site-USPS      | Train Loss: 2.2865 | Train Acc: 0.1058
 Site-SynthDigits| Train Loss: 2.2993 | Train Acc: 0.0227
 Site-SynthDigits| Train Loss: 2.2869 | Train Acc: 0.1250
 Site-MNIST-M   | Train Loss: 2.3174 | Train Acc: 0.0345
 Site-MNIST-M   | Train Loss: 2.2877 | Train Acc: 0.1897
 Site-MNIST     | Val  Loss: 2.2702 | Val  Acc: 0.1538
 Site-MNIST     | Val  Loss: 2.2797 | Val  Acc: 0.1282
 Site-SVHN      | Val  Loss: 2.3140 | Val  Acc: 0.0417
 Site-SVHN      | Val  Loss: 2.3031 | Val  Acc: 0.1429
 Site-USPS      | Val  Loss: 2.2679 | Val  Acc: 0.0588
 Site-USPS      | Val  Loss: 2.2881 | Val  Acc: 0.0870
 Site-SynthDigits| Val  Loss: 2.2925 | Val  Acc: 0.1379
 Site-SynthDigits| Val  Loss: 2.2862 | Val  Acc: 0.1207
 Site-MNIST-M   | Val  Loss: 2.2819 | Val  Acc: 0.0526
 Site-MNIST-M   | Val  Loss: 2.2924 | Val  Acc: 0.1282
Average Valid Accuracy: 0.1052
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1538
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1282
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0417
 Best site-SVHN       | Epoch:0 | Val Acc: 0.1429
 Best site-USPS       | Epoch:0 | Val Acc: 0.0588
 Best site-USPS       | Epoch:0 | Val Acc: 0.0870
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.1379
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.1207
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.0526
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.1282
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/drfl...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 2.2653 | Train Acc: 0.2373
 Site-MNIST     | Train Loss: 2.2569 | Train Acc: 0.1695
 Site-SVHN      | Train Loss: 2.2626 | Train Acc: 0.2432
 Site-SVHN      | Train Loss: 2.3054 | Train Acc: 0.0946
 Site-USPS      | Train Loss: 2.2380 | Train Acc: 0.1923
 Site-USPS      | Train Loss: 2.2613 | Train Acc: 0.1923
 Site-SynthDigits| Train Loss: 2.2943 | Train Acc: 0.0682
 Site-SynthDigits| Train Loss: 2.2879 | Train Acc: 0.1250
 Site-MNIST-M   | Train Loss: 2.3178 | Train Acc: 0.0345
 Site-MNIST-M   | Train Loss: 2.2869 | Train Acc: 0.1552
 Site-MNIST     | Val  Loss: 2.2496 | Val  Acc: 0.2564
 Site-MNIST     | Val  Loss: 2.2567 | Val  Acc: 0.1795
 Site-SVHN      | Val  Loss: 2.3109 | Val  Acc: 0.0833
 Site-SVHN      | Val  Loss: 2.3000 | Val  Acc: 0.1429
 Site-USPS      | Val  Loss: 2.2341 | Val  Acc: 0.1765
 Site-USPS      | Val  Loss: 2.2579 | Val  Acc: 0.1594
 Site-SynthDigits| Val  Loss: 2.2901 | Val  Acc: 0.1379
 Site-SynthDigits| Val  Loss: 2.2834 | Val  Acc: 0.1207
 Site-MNIST-M   | Val  Loss: 2.2791 | Val  Acc: 0.0526
 Site-MNIST-M   | Val  Loss: 2.2896 | Val  Acc: 0.0769
Average Valid Accuracy: 0.1386
 Best site-MNIST      | Epoch:1 | Val Acc: 0.2564
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1795
 Best site-SVHN       | Epoch:1 | Val Acc: 0.0833
 Best site-SVHN       | Epoch:1 | Val Acc: 0.1429
 Best site-USPS       | Epoch:1 | Val Acc: 0.1765
 Best site-USPS       | Epoch:1 | Val Acc: 0.1594
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.1379
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.1207
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.0526
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.0769
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/drfl...
============ Train epoch 2 ============
 Site-MNIST     | Train Loss: 2.2595 | Train Acc: 0.2373
 Site-MNIST     | Train Loss: 2.2366 | Train Acc: 0.2203
 Site-SVHN      | Train Loss: 2.2721 | Train Acc: 0.2703
 Site-SVHN      | Train Loss: 2.2995 | Train Acc: 0.1216
 Site-USPS      | Train Loss: 2.2245 | Train Acc: 0.3846
 Site-USPS      | Train Loss: 2.2396 | Train Acc: 0.3269
 Site-SynthDigits| Train Loss: 2.2925 | Train Acc: 0.0909
 Site-SynthDigits| Train Loss: 2.2809 | Train Acc: 0.1364
 Site-MNIST-M   | Train Loss: 2.3138 | Train Acc: 0.0345
 Site-MNIST-M   | Train Loss: 2.2836 | Train Acc: 0.1552
 Site-MNIST     | Val  Loss: 2.2289 | Val  Acc: 0.3077
 Site-MNIST     | Val  Loss: 2.2338 | Val  Acc: 0.2308
 Site-SVHN      | Val  Loss: 2.3079 | Val  Acc: 0.0833
 Site-SVHN      | Val  Loss: 2.2966 | Val  Acc: 0.1633
 Site-USPS      | Val  Loss: 2.2037 | Val  Acc: 0.3235
 Site-USPS      | Val  Loss: 2.2318 | Val  Acc: 0.3043
 Site-SynthDigits| Val  Loss: 2.2855 | Val  Acc: 0.1724
 Site-SynthDigits| Val  Loss: 2.2781 | Val  Acc: 0.1379
 Site-MNIST-M   | Val  Loss: 2.2750 | Val  Acc: 0.0526
 Site-MNIST-M   | Val  Loss: 2.2868 | Val  Acc: 0.0769
Average Valid Accuracy: 0.1853
 Best site-MNIST      | Epoch:2 | Val Acc: 0.3077
 Best site-MNIST      | Epoch:2 | Val Acc: 0.2308
 Best site-SVHN       | Epoch:2 | Val Acc: 0.0833
