===2023-04-10 12:31:05===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 30
    wk_iters: 2
    tune: False
    lambda for constrastive: 0.5
data_number=[4,9,13,18,22,27,31,31,62,29,16,19,17,]
domain number = 6
============ Train epoch 0 ============
===2023-04-10 12:31:26===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 30
    wk_iters: 2
    tune: False
    lambda for constrastive: 0.5
data_number=[9,18,27,36,45,54,63,63,126,59,32,38,35,]
domain number = 6
============ Train epoch 0 ============
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 2.1371 | Train Acc: 0.2222
 Site-Clipart   | Train Loss: 2.1882 | Train Acc: 0.1111
 Site-Clipart   | Train Loss: 2.1866 | Train Acc: 0.1111
 Site-Clipart   | Train Loss: 2.1996 | Train Acc: 0.1944
 Site-Clipart   | Train Loss: 2.1519 | Train Acc: 0.2889
 Site-Clipart   | Train Loss: 2.1116 | Train Acc: 0.2407
 Site-Clipart   | Train Loss: 2.1830 | Train Acc: 0.2063
 Site-Infograph | Train Loss: 2.2335 | Train Acc: 0.1587
 Site-Infograph | Train Loss: 2.2083 | Train Acc: 0.2381
 Site-Painting  | Train Loss: 2.2183 | Train Acc: 0.1695
 Site-QuickDraw | Train Loss: 2.3924 | Train Acc: 0.0312
 Site-Real      | Train Loss: 2.2461 | Train Acc: 0.1579
 Site-Sketch    | Train Loss: 2.1954 | Train Acc: 0.2286
============ Train epoch 2 ============
============ Train epoch 3 ============
 Site-Clipart   | Train Loss: 2.1682 | Train Acc: 0.1111
 Site-Clipart   | Train Loss: 2.0381 | Train Acc: 0.2222
 Site-Clipart   | Train Loss: 2.1239 | Train Acc: 0.2222
 Site-Clipart   | Train Loss: 2.0427 | Train Acc: 0.3333
 Site-Clipart   | Train Loss: 2.0319 | Train Acc: 0.4444
 Site-Clipart   | Train Loss: 2.0404 | Train Acc: 0.4815
 Site-Clipart   | Train Loss: 2.0788 | Train Acc: 0.2857
 Site-Infograph | Train Loss: 2.1655 | Train Acc: 0.2063
 Site-Infograph | Train Loss: 2.0860 | Train Acc: 0.3016
 Site-Painting  | Train Loss: 2.1477 | Train Acc: 0.2712
 Site-QuickDraw | Train Loss: 2.4051 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.1800 | Train Acc: 0.1842
 Site-Sketch    | Train Loss: 2.1280 | Train Acc: 0.4286
 Site-Clipart   | Val  Loss: 1.9956 | Val  Acc: 0.1667
 Site-Clipart   | Val  Loss: 2.0695 | Val  Acc: 0.3333
 Site-Clipart   | Val  Loss: 2.0805 | Val  Acc: 0.3889
 Site-Clipart   | Val  Loss: 2.1356 | Val  Acc: 0.2917
 Site-Clipart   | Val  Loss: 1.9658 | Val  Acc: 0.4000
 Site-Clipart   | Val  Loss: 2.0383 | Val  Acc: 0.3333
 Site-Clipart   | Val  Loss: 2.1487 | Val  Acc: 0.2381
 Site-Infograph | Val  Loss: 2.1002 | Val  Acc: 0.2857
 Site-Infograph | Val  Loss: 2.1705 | Val  Acc: 0.2857
 Site-Painting  | Val  Loss: 2.1931 | Val  Acc: 0.1795
 Site-QuickDraw | Val  Loss: 2.2121 | Val  Acc: 0.0952
 Site-Real      | Val  Loss: 2.0362 | Val  Acc: 0.3200
 Site-Sketch    | Val  Loss: 2.0420 | Val  Acc: 0.3913
Average Valid Accuracy: 0.2853
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1667
 Best site-Clipart    | Epoch:1 | Val Acc: 0.3333
 Best site-Clipart    | Epoch:1 | Val Acc: 0.3889
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2917
 Best site-Clipart    | Epoch:1 | Val Acc: 0.4000
 Best site-Clipart    | Epoch:1 | Val Acc: 0.3333
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2381
 Best site-Infograph  | Epoch:1 | Val Acc: 0.2857
 Best site-Infograph  | Epoch:1 | Val Acc: 0.2857
 Best site-Painting   | Epoch:1 | Val Acc: 0.1795
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.0952
 Best site-Real       | Epoch:1 | Val Acc: 0.3200
 Best site-Sketch     | Epoch:1 | Val Acc: 0.3913
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-3_1/CoCoOP...
============ Train epoch 4 ============
============ Train epoch 5 ============
 Site-Clipart   | Train Loss: 2.0377 | Train Acc: 0.2222
 Site-Clipart   | Train Loss: 2.0568 | Train Acc: 0.3889
 Site-Clipart   | Train Loss: 2.0016 | Train Acc: 0.3333
 Site-Clipart   | Train Loss: 2.0866 | Train Acc: 0.2778
 Site-Clipart   | Train Loss: 1.9351 | Train Acc: 0.5111
 Site-Clipart   | Train Loss: 1.8689 | Train Acc: 0.6111
 Site-Clipart   | Train Loss: 1.9709 | Train Acc: 0.4286
 Site-Infograph | Train Loss: 2.1417 | Train Acc: 0.2063
 Site-Infograph | Train Loss: 2.0291 | Train Acc: 0.3651
 Site-Painting  | Train Loss: 2.0484 | Train Acc: 0.3898
 Site-QuickDraw | Train Loss: 2.3630 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.0816 | Train Acc: 0.4474
 Site-Sketch    | Train Loss: 1.9780 | Train Acc: 0.5143
============ Train epoch 6 ============
============ Train epoch 7 ============
 Site-Clipart   | Train Loss: 1.9966 | Train Acc: 0.3333
 Site-Clipart   | Train Loss: 2.0199 | Train Acc: 0.5556
 Site-Clipart   | Train Loss: 1.9030 | Train Acc: 0.4815
