===2023-04-18 22:42:31===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    tune: False
    lambda for constrastive: 0.5
data_number=[84,168,31,62,29,58,32,64,38,77,35,70,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.2057 | Train Acc: 0.1905
 Site-Clipart   | Train Loss: 2.2009 | Train Acc: 0.1845
 Site-Infograph | Train Loss: 2.2647 | Train Acc: 0.0968
 Site-Infograph | Train Loss: 2.2896 | Train Acc: 0.0968
 Site-Painting  | Train Loss: 2.3188 | Train Acc: 0.1724
 Site-Painting  | Train Loss: 2.2585 | Train Acc: 0.1724
 Site-QuickDraw | Train Loss: 2.3485 | Train Acc: 0.0312
 Site-QuickDraw | Train Loss: 2.3174 | Train Acc: 0.1094
 Site-Real      | Train Loss: 2.2917 | Train Acc: 0.1579
 Site-Real      | Train Loss: 2.3043 | Train Acc: 0.1299
 Site-Sketch    | Train Loss: 2.1525 | Train Acc: 0.1714
 Site-Sketch    | Train Loss: 2.2822 | Train Acc: 0.1857
 Site-Clipart   | Val  Loss: 2.1675 | Val  Acc: 0.2857
 Site-Clipart   | Val  Loss: 2.1748 | Val  Acc: 0.2411
 Site-Infograph | Val  Loss: 2.3060 | Val  Acc: 0.1000
 Site-Infograph | Val  Loss: 2.1903 | Val  Acc: 0.2683
 Site-Painting  | Val  Loss: 2.2894 | Val  Acc: 0.2632
 Site-Painting  | Val  Loss: 2.3030 | Val  Acc: 0.1538
 Site-QuickDraw | Val  Loss: 1.9743 | Val  Acc: 0.1429
 Site-QuickDraw | Val  Loss: 2.2690 | Val  Acc: 0.1190
 Site-Real      | Val  Loss: 2.3232 | Val  Acc: 0.0400
 Site-Real      | Val  Loss: 2.2851 | Val  Acc: 0.0784
 Site-Sketch    | Val  Loss: 2.2677 | Val  Acc: 0.2174
 Site-Sketch    | Val  Loss: 2.3045 | Val  Acc: 0.1522
Average Valid Accuracy: 0.1718
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2857
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2411
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1000
 Best site-Infograph  | Epoch:0 | Val Acc: 0.2683
 Best site-Painting   | Epoch:0 | Val Acc: 0.2632
 Best site-Painting   | Epoch:0 | Val Acc: 0.1538
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.1429
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.1190
 Best site-Real       | Epoch:0 | Val Acc: 0.0400
 Best site-Real       | Epoch:0 | Val Acc: 0.0784
 Best site-Sketch     | Epoch:0 | Val Acc: 0.2174
 Best site-Sketch     | Epoch:0 | Val Acc: 0.1522
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1/drfl...
