===2023-04-23 00:47:46===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[84,168,31,62,29,58,32,64,38,77,35,70,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 1.4369 | Train Acc: 0.7857
 Site-Clipart   | Train Loss: 1.4396 | Train Acc: 0.8750
 Site-Infograph | Train Loss: 2.0716 | Train Acc: 0.3226
 Site-Infograph | Train Loss: 2.0826 | Train Acc: 0.3548
 Site-Painting  | Train Loss: 1.6173 | Train Acc: 0.7241
 Site-Painting  | Train Loss: 1.5815 | Train Acc: 0.7931
 Site-QuickDraw | Train Loss: 2.1143 | Train Acc: 0.3750
 Site-QuickDraw | Train Loss: 2.1312 | Train Acc: 0.2656
 Site-Real      | Train Loss: 1.4644 | Train Acc: 0.9211
 Site-Real      | Train Loss: 1.4265 | Train Acc: 0.8961
 Site-Sketch    | Train Loss: 1.4274 | Train Acc: 0.8571
 Site-Sketch    | Train Loss: 1.5679 | Train Acc: 0.7857
 Site-Clipart   | Val  Loss: 1.3618 | Val  Acc: 0.9286
 Site-Clipart   | Val  Loss: 1.4018 | Val  Acc: 0.9018
 Site-Infograph | Val  Loss: 2.0570 | Val  Acc: 0.4000
 Site-Infograph | Val  Loss: 2.0914 | Val  Acc: 0.3659
 Site-Painting  | Val  Loss: 1.5757 | Val  Acc: 0.6842
 Site-Painting  | Val  Loss: 1.7157 | Val  Acc: 0.7179
 Site-QuickDraw | Val  Loss: 2.0210 | Val  Acc: 0.3810
 Site-QuickDraw | Val  Loss: 2.1224 | Val  Acc: 0.2857
 Site-Real      | Val  Loss: 1.4844 | Val  Acc: 0.8400
 Site-Real      | Val  Loss: 1.3729 | Val  Acc: 0.9216
 Site-Sketch    | Val  Loss: 1.5003 | Val  Acc: 0.8261
 Site-Sketch    | Val  Loss: 1.5904 | Val  Acc: 0.6957
Average Valid Accuracy: 0.6624
 Best site-Clipart    | Epoch:0 | Val Acc: 0.9286
 Best site-Clipart    | Epoch:0 | Val Acc: 0.9018
 Best site-Infograph  | Epoch:0 | Val Acc: 0.4000
 Best site-Infograph  | Epoch:0 | Val Acc: 0.3659
 Best site-Painting   | Epoch:0 | Val Acc: 0.6842
 Best site-Painting   | Epoch:0 | Val Acc: 0.7179
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.3810
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.2857
 Best site-Real       | Epoch:0 | Val Acc: 0.8400
 Best site-Real       | Epoch:0 | Val Acc: 0.9216
 Best site-Sketch     | Epoch:0 | Val Acc: 0.8261
 Best site-Sketch     | Epoch:0 | Val Acc: 0.6957
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1/harmo-fl...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 0.9966 | Train Acc: 0.8333
 Site-Clipart   | Train Loss: 0.8978 | Train Acc: 0.9048
 Site-Infograph | Train Loss: 2.0024 | Train Acc: 0.2903
 Site-Infograph | Train Loss: 1.9109 | Train Acc: 0.3871
 Site-Painting  | Train Loss: 1.1575 | Train Acc: 0.7241
 Site-Painting  | Train Loss: 1.1888 | Train Acc: 0.7414
 Site-QuickDraw | Train Loss: 2.0485 | Train Acc: 0.3125
 Site-QuickDraw | Train Loss: 1.9268 | Train Acc: 0.3906
 Site-Real      | Train Loss: 0.9905 | Train Acc: 0.8947
 Site-Real      | Train Loss: 0.9134 | Train Acc: 0.9221
 Site-Sketch    | Train Loss: 0.7993 | Train Acc: 0.8571
 Site-Sketch    | Train Loss: 1.0590 | Train Acc: 0.7714
 Site-Clipart   | Val  Loss: 0.8897 | Val  Acc: 0.9464
 Site-Clipart   | Val  Loss: 0.8690 | Val  Acc: 0.9196
 Site-Infograph | Val  Loss: 1.9757 | Val  Acc: 0.4000
 Site-Infograph | Val  Loss: 1.7933 | Val  Acc: 0.5122
 Site-Painting  | Val  Loss: 1.1279 | Val  Acc: 0.6316
 Site-Painting  | Val  Loss: 1.3411 | Val  Acc: 0.7436
 Site-QuickDraw | Val  Loss: 1.8366 | Val  Acc: 0.3810
 Site-QuickDraw | Val  Loss: 1.9588 | Val  Acc: 0.3333
 Site-Real      | Val  Loss: 0.9535 | Val  Acc: 0.8800
 Site-Real      | Val  Loss: 0.8160 | Val  Acc: 0.9020
 Site-Sketch    | Val  Loss: 1.0957 | Val  Acc: 0.7391
 Site-Sketch    | Val  Loss: 1.1177 | Val  Acc: 0.8261
Average Valid Accuracy: 0.6846
 Best site-Clipart    | Epoch:1 | Val Acc: 0.9464
 Best site-Clipart    | Epoch:1 | Val Acc: 0.9196
 Best site-Infograph  | Epoch:1 | Val Acc: 0.4000
 Best site-Infograph  | Epoch:1 | Val Acc: 0.5122
 Best site-Painting   | Epoch:1 | Val Acc: 0.6316
 Best site-Painting   | Epoch:1 | Val Acc: 0.7436
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.3810
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.3333
 Best site-Real       | Epoch:1 | Val Acc: 0.8800
 Best site-Real       | Epoch:1 | Val Acc: 0.9020
 Best site-Sketch     | Epoch:1 | Val Acc: 0.7391
 Best site-Sketch     | Epoch:1 | Val Acc: 0.8261
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1/harmo-fl...
============ Train epoch 2 ============
 Site-Clipart   | Train Loss: 0.7954 | Train Acc: 0.8810
 Site-Clipart   | Train Loss: 0.6364 | Train Acc: 0.9345
 Site-Infograph | Train Loss: 1.9156 | Train Acc: 0.3226
 Site-Infograph | Train Loss: 1.7715 | Train Acc: 0.4032
 Site-Painting  | Train Loss: 0.8544 | Train Acc: 0.7586
 Site-Painting  | Train Loss: 0.8873 | Train Acc: 0.8103
 Site-QuickDraw | Train Loss: 2.0662 | Train Acc: 0.1562
 Site-QuickDraw | Train Loss: 1.7762 | Train Acc: 0.4375
 Site-Real      | Train Loss: 0.6552 | Train Acc: 0.8947
 Site-Real      | Train Loss: 0.6080 | Train Acc: 0.9091
 Site-Sketch    | Train Loss: 0.6821 | Train Acc: 0.8571
 Site-Sketch    | Train Loss: 0.8108 | Train Acc: 0.8000
 Site-Clipart   | Val  Loss: 0.5449 | Val  Acc: 0.9821
 Site-Clipart   | Val  Loss: 0.5954 | Val  Acc: 0.9196
 Site-Infograph | Val  Loss: 1.7151 | Val  Acc: 0.5000
 Site-Infograph | Val  Loss: 1.7904 | Val  Acc: 0.3902
 Site-Painting  | Val  Loss: 0.8014 | Val  Acc: 0.6842
 Site-Painting  | Val  Loss: 1.0886 | Val  Acc: 0.8205
 Site-QuickDraw | Val  Loss: 1.6449 | Val  Acc: 0.5714
 Site-QuickDraw | Val  Loss: 1.9252 | Val  Acc: 0.3333
 Site-Real      | Val  Loss: 0.6383 | Val  Acc: 0.9200
 Site-Real      | Val  Loss: 0.5473 | Val  Acc: 0.8627
 Site-Sketch    | Val  Loss: 0.8603 | Val  Acc: 0.7391
 Site-Sketch    | Val  Loss: 0.8975 | Val  Acc: 0.7391
Average Valid Accuracy: 0.7052
 Best site-Clipart    | Epoch:2 | Val Acc: 0.9821
 Best site-Clipart    | Epoch:2 | Val Acc: 0.9196
 Best site-Infograph  | Epoch:2 | Val Acc: 0.5000
 Best site-Infograph  | Epoch:2 | Val Acc: 0.3902
 Best site-Painting   | Epoch:2 | Val Acc: 0.6842
 Best site-Painting   | Epoch:2 | Val Acc: 0.8205
 Best site-QuickDraw  | Epoch:2 | Val Acc: 0.5714
 Best site-QuickDraw  | Epoch:2 | Val Acc: 0.3333
 Best site-Real       | Epoch:2 | Val Acc: 0.9200
