===2023-06-03 15:07:55===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[193,254,332,436,571,217,284,373,488,258,338,443,343,450,262,343,462,352,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2980,2274,1735,1324,1010,770,587,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = -1
============ Train epoch 0 ============
denominator: 38756.765625
 Site-White                    | Train Loss: 2.1305 | Train Acc: 0.3264
 Site-White                    | Train Loss: 2.0911 | Train Acc: 0.3071
 Site-White                    | Train Loss: 2.0923 | Train Acc: 0.3163
 Site-White                    | Train Loss: 2.1009 | Train Acc: 0.2890
 Site-White                    | Train Loss: 2.1042 | Train Acc: 0.2574
 Site-Latino_Hispanic          | Train Loss: 2.1330 | Train Acc: 0.2350
 Site-Latino_Hispanic          | Train Loss: 2.1105 | Train Acc: 0.3063
 Site-Latino_Hispanic          | Train Loss: 2.1227 | Train Acc: 0.2306
 Site-Latino_Hispanic          | Train Loss: 2.1150 | Train Acc: 0.2705
 Site-Black                    | Train Loss: 2.1356 | Train Acc: 0.2713
 Site-Black                    | Train Loss: 2.1344 | Train Acc: 0.2574
 Site-Black                    | Train Loss: 2.1377 | Train Acc: 0.2528
 Site-East_Asian               | Train Loss: 2.0978 | Train Acc: 0.3032
 Site-East_Asian               | Train Loss: 2.0807 | Train Acc: 0.3067
 Site-Indian                   | Train Loss: 2.1366 | Train Acc: 0.2595
 Site-Indian                   | Train Loss: 2.1412 | Train Acc: 0.2099
 Site-Southeast_Asian          | Train Loss: 2.1313 | Train Acc: 0.2381
 Site-Middle_Eastern           | Train Loss: 2.1269 | Train Acc: 0.2528
 Site-White                         | Val  Loss: 2.1413 | Val  Acc: 0.3101
 Site-White                         | Val  Loss: 2.0739 | Val  Acc: 0.3373
 Site-White                         | Val  Loss: 2.1001 | Val  Acc: 0.2851
 Site-White                         | Val  Loss: 2.1246 | Val  Acc: 0.2793
 Site-White                         | Val  Loss: 2.0884 | Val  Acc: 0.3316
 Site-Latino_Hispanic               | Val  Loss: 2.1235 | Val  Acc: 0.2431
 Site-Latino_Hispanic               | Val  Loss: 2.1133 | Val  Acc: 0.2751
 Site-Latino_Hispanic               | Val  Loss: 2.1185 | Val  Acc: 0.2540
 Site-Latino_Hispanic               | Val  Loss: 2.1165 | Val  Acc: 0.2738
 Site-Black                         | Val  Loss: 2.1523 | Val  Acc: 0.2442
 Site-Black                         | Val  Loss: 2.1163 | Val  Acc: 0.2578
 Site-Black                         | Val  Loss: 2.1343 | Val  Acc: 0.2949
 Site-East_Asian                    | Val  Loss: 2.0979 | Val  Acc: 0.3100
 Site-East_Asian                    | Val  Loss: 2.0958 | Val  Acc: 0.2943
 Site-Indian                        | Val  Loss: 2.1475 | Val  Acc: 0.2011
 Site-Indian                        | Val  Loss: 2.1515 | Val  Acc: 0.1921
 Site-Southeast_Asian               | Val  Loss: 2.1337 | Val  Acc: 0.2338
 Site-Middle_Eastern                | Val  Loss: 2.1391 | Val  Acc: 0.2393
Average Valid Accuracy: 0.2698
 Best site-White                     | Epoch:0 | Val Acc: 0.3101
 Best site-White                     | Epoch:0 | Val Acc: 0.3373
 Best site-White                     | Epoch:0 | Val Acc: 0.2851
 Best site-White                     | Epoch:0 | Val Acc: 0.2793
 Best site-White                     | Epoch:0 | Val Acc: 0.3316
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2431
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2751
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2540
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2738
 Best site-Black                     | Epoch:0 | Val Acc: 0.2442
 Best site-Black                     | Epoch:0 | Val Acc: 0.2578
 Best site-Black                     | Epoch:0 | Val Acc: 0.2949
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.3100
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.2943
 Best site-Indian                    | Epoch:0 | Val Acc: 0.2011
 Best site-Indian                    | Epoch:0 | Val Acc: 0.1921
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.2338
