===2023-06-03 19:21:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[193,254,332,436,571,217,284,373,488,258,338,443,343,450,262,343,462,352,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2980,2274,1735,1324,1010,770,587,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = -1
============ Train epoch 0 ============
 Site-White                    | Train Loss: 2.1252 | Train Acc: 0.3420
 Site-White                    | Train Loss: 2.0849 | Train Acc: 0.3071
 Site-White                    | Train Loss: 2.0861 | Train Acc: 0.3253
 Site-White                    | Train Loss: 2.0943 | Train Acc: 0.2936
 Site-White                    | Train Loss: 2.0977 | Train Acc: 0.2522
 Site-Latino_Hispanic          | Train Loss: 2.1288 | Train Acc: 0.2488
 Site-Latino_Hispanic          | Train Loss: 2.1055 | Train Acc: 0.3204
 Site-Latino_Hispanic          | Train Loss: 2.1182 | Train Acc: 0.2332
 Site-Latino_Hispanic          | Train Loss: 2.1102 | Train Acc: 0.2684
 Site-Black                    | Train Loss: 2.1322 | Train Acc: 0.2636
 Site-Black                    | Train Loss: 2.1309 | Train Acc: 0.2604
 Site-Black                    | Train Loss: 2.1339 | Train Acc: 0.2506
 Site-East_Asian               | Train Loss: 2.0905 | Train Acc: 0.2974
 Site-East_Asian               | Train Loss: 2.0720 | Train Acc: 0.3222
 Site-Indian                   | Train Loss: 2.1328 | Train Acc: 0.2443
 Site-Indian                   | Train Loss: 2.1373 | Train Acc: 0.2420
 Site-Southeast_Asian          | Train Loss: 2.1261 | Train Acc: 0.2403
 Site-Middle_Eastern           | Train Loss: 2.1225 | Train Acc: 0.2585
 Site-White                         | Val  Loss: 2.1371 | Val  Acc: 0.3101
 Site-White                         | Val  Loss: 2.0660 | Val  Acc: 0.3314
 Site-White                         | Val  Loss: 2.0936 | Val  Acc: 0.2896
 Site-White                         | Val  Loss: 2.1194 | Val  Acc: 0.2724
 Site-White                         | Val  Loss: 2.0822 | Val  Acc: 0.3342
 Site-Latino_Hispanic               | Val  Loss: 2.1192 | Val  Acc: 0.2431
 Site-Latino_Hispanic               | Val  Loss: 2.1085 | Val  Acc: 0.2910
 Site-Latino_Hispanic               | Val  Loss: 2.1135 | Val  Acc: 0.2661
 Site-Latino_Hispanic               | Val  Loss: 2.1118 | Val  Acc: 0.2738
 Site-Black                         | Val  Loss: 2.1495 | Val  Acc: 0.2558
 Site-Black                         | Val  Loss: 2.1125 | Val  Acc: 0.2578
 Site-Black                         | Val  Loss: 2.1311 | Val  Acc: 0.2847
 Site-East_Asian                    | Val  Loss: 2.0913 | Val  Acc: 0.3188
 Site-East_Asian                    | Val  Loss: 2.0888 | Val  Acc: 0.3177
 Site-Indian                        | Val  Loss: 2.1436 | Val  Acc: 0.2184
 Site-Indian                        | Val  Loss: 2.1484 | Val  Acc: 0.1834
 Site-Southeast_Asian               | Val  Loss: 2.1287 | Val  Acc: 0.2500
 Site-Middle_Eastern                | Val  Loss: 2.1352 | Val  Acc: 0.2436
Average Valid Accuracy: 0.2746
 Best site-White                     | Epoch:0 | Val Acc: 0.3101
 Best site-White                     | Epoch:0 | Val Acc: 0.3314
 Best site-White                     | Epoch:0 | Val Acc: 0.2896
 Best site-White                     | Epoch:0 | Val Acc: 0.2724
 Best site-White                     | Epoch:0 | Val Acc: 0.3342
