===2023-06-03 13:39:43===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[371,1115,371,1115,371,1115,371,1115,371,1115,
client_nums=[2,2,2,2,2,]
len_dataset=[1859,1859,1859,1859,1859,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                    | Train Loss: 2.2497 | Train Acc: 0.2264
 Site-MNIST                    | Train Loss: 2.2568 | Train Acc: 0.2197
 Site-USPS                     | Train Loss: 2.2510 | Train Acc: 0.2561
 Site-USPS                     | Train Loss: 2.2463 | Train Acc: 0.2673
 Site-SynthDigits              | Train Loss: 2.2932 | Train Acc: 0.1294
 Site-SynthDigits              | Train Loss: 2.2832 | Train Acc: 0.1641
 Site-MNIST-M                  | Train Loss: 2.2996 | Train Acc: 0.1186
 Site-MNIST-M                  | Train Loss: 2.2982 | Train Acc: 0.1040
 Site-SVHN                     | Train Loss: 2.2821 | Train Acc: 0.1456
 Site-SVHN                     | Train Loss: 2.2868 | Train Acc: 0.1426
 Site-MNIST                         | Val  Loss: 2.2631 | Val  Acc: 0.1522
 Site-MNIST                         | Val  Loss: 2.2538 | Val  Acc: 0.1978
 Site-USPS                          | Val  Loss: 2.2520 | Val  Acc: 0.2609
 Site-USPS                          | Val  Loss: 2.2487 | Val  Acc: 0.2698
 Site-SynthDigits                   | Val  Loss: 2.2888 | Val  Acc: 0.1413
 Site-SynthDigits                   | Val  Loss: 2.2936 | Val  Acc: 0.1079
 Site-MNIST-M                       | Val  Loss: 2.3046 | Val  Acc: 0.0652
 Site-MNIST-M                       | Val  Loss: 2.3003 | Val  Acc: 0.0935
 Site-SVHN                          | Val  Loss: 2.2840 | Val  Acc: 0.1630
 Site-SVHN                          | Val  Loss: 2.2862 | Val  Acc: 0.1403
Average Valid Accuracy: 0.1592
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1522
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1978
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2609
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2698
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1413
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1079
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.0652
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.0935
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1630
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1403
 Saving the gmap checkpoint to ../checkpoint/fed_digit_even_1.0_1/ccop_q=1_gmap...
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1.0_1/fedavg...
============ Train epoch 1 ============
 Site-MNIST                    | Train Loss: 2.2028 | Train Acc: 0.4420
 Site-MNIST                    | Train Loss: 2.2192 | Train Acc: 0.3641
 Site-USPS                     | Train Loss: 2.1936 | Train Acc: 0.4555
 Site-USPS                     | Train Loss: 2.1880 | Train Acc: 0.4861
 Site-SynthDigits              | Train Loss: 2.2823 | Train Acc: 0.1590
 Site-SynthDigits              | Train Loss: 2.2668 | Train Acc: 0.2108
 Site-MNIST-M                  | Train Loss: 2.2934 | Train Acc: 0.1213
 Site-MNIST-M                  | Train Loss: 2.2920 | Train Acc: 0.1085
 Site-SVHN                     | Train Loss: 2.2716 | Train Acc: 0.1968
 Site-SVHN                     | Train Loss: 2.2761 | Train Acc: 0.1830
 Site-MNIST                         | Val  Loss: 2.2265 | Val  Acc: 0.2609
 Site-MNIST                         | Val  Loss: 2.2139 | Val  Acc: 0.3813
 Site-USPS                          | Val  Loss: 2.2001 | Val  Acc: 0.4239
 Site-USPS                          | Val  Loss: 2.1963 | Val  Acc: 0.4568
 Site-SynthDigits                   | Val  Loss: 2.2716 | Val  Acc: 0.2065
 Site-SynthDigits                   | Val  Loss: 2.2796 | Val  Acc: 0.1511
 Site-MNIST-M                       | Val  Loss: 2.2984 | Val  Acc: 0.0652
 Site-MNIST-M                       | Val  Loss: 2.2931 | Val  Acc: 0.1043
 Site-SVHN                          | Val  Loss: 2.2703 | Val  Acc: 0.2065
 Site-SVHN                          | Val  Loss: 2.2739 | Val  Acc: 0.2050
Average Valid Accuracy: 0.2462
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2609
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3813
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4239
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4568
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2065
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1511
 Best site-MNIST-M                   | Epoch:1 | Val Acc: 0.0652
 Best site-MNIST-M                   | Epoch:1 | Val Acc: 0.1043
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2065
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2050
 Saving the gmap checkpoint to ../checkpoint/fed_digit_even_1.0_1/ccop_q=1_gmap...
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1.0_1/fedavg...
============ Train epoch 2 ============
 Site-MNIST                    | Train Loss: 2.1588 | Train Acc: 0.5256
