===2023-05-25 06:56:35===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
data_number=[139,417,139,417,139,417,139,417,139,417,139,417,139,417,]
client_nums=[2,2,2,2,2,2,2,]
len_dataset=[1856,1856,1856,1856,1856,1856,1856,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = -1
============ Train epoch 0 ============
 Site-White                    | Train Loss: 1.8207 | Train Acc: 0.3525
 Site-White                    | Train Loss: 1.7702 | Train Acc: 0.3429
 Site-Latino_Hispanic          | Train Loss: 1.8787 | Train Acc: 0.2950
 Site-Latino_Hispanic          | Train Loss: 1.8649 | Train Acc: 0.2662
 Site-Black                    | Train Loss: 1.9922 | Train Acc: 0.2518
 Site-Black                    | Train Loss: 1.9094 | Train Acc: 0.2518
 Site-East_Asian               | Train Loss: 1.7625 | Train Acc: 0.3669
 Site-East_Asian               | Train Loss: 1.7501 | Train Acc: 0.3741
 Site-Indian                   | Train Loss: 1.9486 | Train Acc: 0.2806
 Site-Indian                   | Train Loss: 2.0244 | Train Acc: 0.2350
 Site-Southeast_Asian          | Train Loss: 1.9428 | Train Acc: 0.3381
 Site-Southeast_Asian          | Train Loss: 1.9778 | Train Acc: 0.2758
 Site-Middle_Eastern           | Train Loss: 1.9146 | Train Acc: 0.2806
 Site-Middle_Eastern           | Train Loss: 1.8815 | Train Acc: 0.2734
 Site-White                         | Val  Loss: 1.8479 | Val  Acc: 0.3043
 Site-White                         | Val  Loss: 1.7739 | Val  Acc: 0.3381
 Site-Latino_Hispanic               | Val  Loss: 1.9212 | Val  Acc: 0.3043
 Site-Latino_Hispanic               | Val  Loss: 1.8614 | Val  Acc: 0.3022
 Site-Black                         | Val  Loss: 1.8548 | Val  Acc: 0.3370
 Site-Black                         | Val  Loss: 1.9238 | Val  Acc: 0.2626
 Site-East_Asian                    | Val  Loss: 1.6973 | Val  Acc: 0.4130
 Site-East_Asian                    | Val  Loss: 1.7635 | Val  Acc: 0.3597
 Site-Indian                        | Val  Loss: 2.0508 | Val  Acc: 0.2826
 Site-Indian                        | Val  Loss: 2.0139 | Val  Acc: 0.2446
 Site-Southeast_Asian               | Val  Loss: 1.9604 | Val  Acc: 0.3043
 Site-Southeast_Asian               | Val  Loss: 1.9671 | Val  Acc: 0.2914
 Site-Middle_Eastern                | Val  Loss: 1.8451 | Val  Acc: 0.3043
 Site-Middle_Eastern                | Val  Loss: 1.8974 | Val  Acc: 0.2626
Average Valid Accuracy: 0.3079
 Best site-White                     | Epoch:0 | Val Acc: 0.3043
 Best site-White                     | Epoch:0 | Val Acc: 0.3381
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.3043
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.3022
 Best site-Black                     | Epoch:0 | Val Acc: 0.3370
 Best site-Black                     | Epoch:0 | Val Acc: 0.2626
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.4130
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.3597
 Best site-Indian                    | Epoch:0 | Val Acc: 0.2826
 Best site-Indian                    | Epoch:0 | Val Acc: 0.2446
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.3043
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.2914
 Best site-Middle_Eastern            | Epoch:0 | Val Acc: 0.3043
 Best site-Middle_Eastern            | Epoch:0 | Val Acc: 0.2626
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even_1.0_1_random_dis_cluster_-1/CoCoOP...
============ Train epoch 1 ============
 Site-White                    | Train Loss: 1.7239 | Train Acc: 0.3669
 Site-White                    | Train Loss: 1.6985 | Train Acc: 0.3885
 Site-Latino_Hispanic          | Train Loss: 1.8030 | Train Acc: 0.3381
