===2023-04-19 00:21:19===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    tune: False
    lambda for constrastive: 0.5
data_number=[12,24,36,48,60,72,31,63,94,59,32,38,35,]
label set of clients: [9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.3126 | Train Acc: 0.0833
 Site-Clipart   | Train Loss: 2.1535 | Train Acc: 0.2083
 Site-Clipart   | Train Loss: 2.2560 | Train Acc: 0.1389
 Site-Clipart   | Train Loss: 2.2658 | Train Acc: 0.2083
 Site-Clipart   | Train Loss: 2.2251 | Train Acc: 0.1500
 Site-Clipart   | Train Loss: 2.2441 | Train Acc: 0.1250
 Site-Infograph | Train Loss: 2.3111 | Train Acc: 0.1613
 Site-Infograph | Train Loss: 2.3552 | Train Acc: 0.0952
 Site-Infograph | Train Loss: 2.2703 | Train Acc: 0.1277
 Site-Painting  | Train Loss: 2.2287 | Train Acc: 0.1356
 Site-QuickDraw | Train Loss: 2.3452 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.2048 | Train Acc: 0.2632
 Site-Sketch    | Train Loss: 2.2081 | Train Acc: 0.1143
 Site-Clipart   | Val  Loss: 2.3211 | Val  Acc: 0.0000
 Site-Clipart   | Val  Loss: 2.3156 | Val  Acc: 0.0625
 Site-Clipart   | Val  Loss: 2.1980 | Val  Acc: 0.2083
 Site-Clipart   | Val  Loss: 2.2355 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.2425 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.2563 | Val  Acc: 0.1875
 Site-Infograph | Val  Loss: 2.2835 | Val  Acc: 0.1429
 Site-Infograph | Val  Loss: 2.2421 | Val  Acc: 0.1429
 Site-Infograph | Val  Loss: 2.2877 | Val  Acc: 0.0476
 Site-Painting  | Val  Loss: 2.2916 | Val  Acc: 0.1795
 Site-QuickDraw | Val  Loss: 2.3690 | Val  Acc: 0.0000
 Site-Real      | Val  Loss: 2.2538 | Val  Acc: 0.1600
 Site-Sketch    | Val  Loss: 2.2076 | Val  Acc: 0.0870
Average Valid Accuracy: 0.1129
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0000
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0625
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2083
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1875
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1429
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1429
 Best site-Infograph  | Epoch:0 | Val Acc: 0.0476
 Best site-Painting   | Epoch:0 | Val Acc: 0.1795
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0000
 Best site-Real       | Epoch:0 | Val Acc: 0.1600
 Best site-Sketch     | Epoch:0 | Val Acc: 0.0870
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-2_1/drfl...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 2.3141 | Train Acc: 0.0833
 Site-Clipart   | Train Loss: 2.1421 | Train Acc: 0.1250
 Site-Clipart   | Train Loss: 2.1629 | Train Acc: 0.2500
 Site-Clipart   | Train Loss: 2.1951 | Train Acc: 0.2708
 Site-Clipart   | Train Loss: 2.1508 | Train Acc: 0.1833
 Site-Clipart   | Train Loss: 2.1382 | Train Acc: 0.3056
 Site-Infograph | Train Loss: 2.2564 | Train Acc: 0.1290
 Site-Infograph | Train Loss: 2.3277 | Train Acc: 0.0952
 Site-Infograph | Train Loss: 2.2489 | Train Acc: 0.1170
 Site-Painting  | Train Loss: 2.1754 | Train Acc: 0.2034
 Site-QuickDraw | Train Loss: 2.3165 | Train Acc: 0.0938
 Site-Real      | Train Loss: 2.1844 | Train Acc: 0.2895
 Site-Sketch    | Train Loss: 2.2427 | Train Acc: 0.1143
 Site-Clipart   | Val  Loss: 2.2345 | Val  Acc: 0.0000
 Site-Clipart   | Val  Loss: 2.1668 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.1563 | Val  Acc: 0.3333
 Site-Clipart   | Val  Loss: 2.1192 | Val  Acc: 0.3125
 Site-Clipart   | Val  Loss: 2.1486 | Val  Acc: 0.2750
 Site-Clipart   | Val  Loss: 2.1631 | Val  Acc: 0.2500
 Site-Infograph | Val  Loss: 2.2435 | Val  Acc: 0.1905
 Site-Infograph | Val  Loss: 2.1720 | Val  Acc: 0.3095
 Site-Infograph | Val  Loss: 2.2185 | Val  Acc: 0.1746
 Site-Painting  | Val  Loss: 2.2592 | Val  Acc: 0.2308
 Site-QuickDraw | Val  Loss: 2.3407 | Val  Acc: 0.0952
 Site-Real      | Val  Loss: 2.1667 | Val  Acc: 0.1600
 Site-Sketch    | Val  Loss: 2.1237 | Val  Acc: 0.2609
Average Valid Accuracy: 0.2090
 Best site-Clipart    | Epoch:1 | Val Acc: 0.0000
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:1 | Val Acc: 0.3333
 Best site-Clipart    | Epoch:1 | Val Acc: 0.3125
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2750
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2500
 Best site-Infograph  | Epoch:1 | Val Acc: 0.1905
 Best site-Infograph  | Epoch:1 | Val Acc: 0.3095
 Best site-Infograph  | Epoch:1 | Val Acc: 0.1746
 Best site-Painting   | Epoch:1 | Val Acc: 0.2308
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.0952
 Best site-Real       | Epoch:1 | Val Acc: 0.1600
