===2023-06-29 14:14:27===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 2.2794 | Train Acc: 0.1250
 Site-Real                          | Train Loss: 2.2993 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2854 | Train Acc: 0.1000
 Site-Real                          | Train Loss: 2.2985 | Train Acc: 0.0938
 Site-Real                          | Train Loss: 2.2888 | Train Acc: 0.0385
 Site-Real                          | Train Loss: 2.3032 | Train Acc: 0.0714
 Site-Real                          | Train Loss: 2.3393 | Train Acc: 0.0522
 Site-Real                          | Train Loss: 2.2965 | Train Acc: 0.0512
 Site-Real                          | Train Loss: 2.2901 | Train Acc: 0.1072
 Site-Real                          | Train Loss: 2.3044 | Train Acc: 0.0870
 Site-Clipart                       | Train Loss: 2.3091 | Train Acc: 0.0952
 Site-Clipart                       | Train Loss: 2.2636 | Train Acc: 0.1818
 Site-Clipart                       | Train Loss: 2.3102 | Train Acc: 0.0370
 Site-Clipart                       | Train Loss: 2.2943 | Train Acc: 0.1279
 Site-Clipart                       | Train Loss: 2.2739 | Train Acc: 0.1232
 Site-Clipart                       | Train Loss: 2.3045 | Train Acc: 0.0901
 Site-Clipart                       | Train Loss: 2.2937 | Train Acc: 0.1070
 Site-Painting                      | Train Loss: 2.3063 | Train Acc: 0.0000
 Site-Painting                      | Train Loss: 2.2987 | Train Acc: 0.0816
 Site-Painting                      | Train Loss: 2.2964 | Train Acc: 0.0828
 Site-Painting                      | Train Loss: 2.2907 | Train Acc: 0.0873
 Site-Sketch                        | Train Loss: 2.3617 | Train Acc: 0.0588
 Site-Sketch                        | Train Loss: 2.3001 | Train Acc: 0.0909
 Site-Sketch                        | Train Loss: 2.2975 | Train Acc: 0.0568
 Site-Infograph                     | Train Loss: 2.3222 | Train Acc: 0.0824
 Site-Infograph                     | Train Loss: 2.3224 | Train Acc: 0.0735
 Site-QuickDraw                     | Train Loss: 2.3150 | Train Acc: 0.1304
Average Train Accuracy: 0.0858
 Site-Real                          | Val  Loss: 2.2200 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2837 | Val  Acc: 0.2500
 Site-Real                          | Val  Loss: 2.3008 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.2735 | Val  Acc: 0.0952
 Site-Real                          | Val  Loss: 2.2732 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2930 | Val  Acc: 0.1250
 Site-Real                          | Val  Loss: 2.3022 | Val  Acc: 0.0787
 Site-Real                          | Val  Loss: 2.3050 | Val  Acc: 0.0420
 Site-Real                          | Val  Loss: 2.2932 | Val  Acc: 0.1092
 Site-Real                          | Val  Loss: 2.2947 | Val  Acc: 0.0845
 Site-Clipart                       | Val  Loss: 2.3147 | Val  Acc: 0.0714
 Site-Clipart                       | Val  Loss: 2.3450 | Val  Acc: 0.0000
 Site-Clipart                       | Val  Loss: 2.3277 | Val  Acc: 0.0278
 Site-Clipart                       | Val  Loss: 2.3233 | Val  Acc: 0.0526
 Site-Clipart                       | Val  Loss: 2.2954 | Val  Acc: 0.1196
 Site-Clipart                       | Val  Loss: 2.3011 | Val  Acc: 0.0878
 Site-Clipart                       | Val  Loss: 2.2971 | Val  Acc: 0.0720
 Site-Painting                      | Val  Loss: 2.2764 | Val  Acc: 0.1707
 Site-Painting                      | Val  Loss: 2.3770 | Val  Acc: 0.1385
 Site-Painting                      | Val  Loss: 2.2876 | Val  Acc: 0.0952
 Site-Painting                      | Val  Loss: 2.2903 | Val  Acc: 0.1012
 Site-Sketch                        | Val  Loss: 2.3022 | Val  Acc: 0.0444
 Site-Sketch                        | Val  Loss: 2.2964 | Val  Acc: 0.0548
 Site-Sketch                        | Val  Loss: 2.3072 | Val  Acc: 0.0598
 Site-Infograph                     | Val  Loss: 2.3070 | Val  Acc: 0.1071
 Site-Infograph                     | Val  Loss: 2.3170 | Val  Acc: 0.0549
 Site-QuickDraw                     | Val  Loss: 2.3047 | Val  Acc: 0.1413
Average Valid Accuracy: 0.0957
 Best site-Real                      | Epoch:0 | Val Acc: 0.2000
 Best site-Real                      | Epoch:0 | Val Acc: 0.2500
 Best site-Real                      | Epoch:0 | Val Acc: 0.0000
 Best site-Real                      | Epoch:0 | Val Acc: 0.0952
 Best site-Real                      | Epoch:0 | Val Acc: 0.2000
 Best site-Real                      | Epoch:0 | Val Acc: 0.1250
 Best site-Real                      | Epoch:0 | Val Acc: 0.0787
 Best site-Real                      | Epoch:0 | Val Acc: 0.0420
 Best site-Real                      | Epoch:0 | Val Acc: 0.1092
 Best site-Real                      | Epoch:0 | Val Acc: 0.0845
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0714
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0000
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0278
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0526
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1196
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0878
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0720
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1707
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1385
 Best site-Painting                  | Epoch:0 | Val Acc: 0.0952
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1012
