===2023-06-29 15:55:20===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 2.2691 | Train Acc: 0.1250
 Site-Real                          | Train Loss: 2.3255 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2484 | Train Acc: 0.1500
 Site-Real                          | Train Loss: 2.2350 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.2563 | Train Acc: 0.2115
 Site-Real                          | Train Loss: 2.3040 | Train Acc: 0.1190
 Site-Real                          | Train Loss: 2.2575 | Train Acc: 0.2164
 Site-Real                          | Train Loss: 2.2597 | Train Acc: 0.2140
 Site-Real                          | Train Loss: 2.2562 | Train Acc: 0.1826
 Site-Real                          | Train Loss: 2.2622 | Train Acc: 0.1830
 Site-Clipart                       | Train Loss: 2.2532 | Train Acc: 0.1905
 Site-Clipart                       | Train Loss: 2.2779 | Train Acc: 0.1515
 Site-Clipart                       | Train Loss: 2.2505 | Train Acc: 0.1852
 Site-Clipart                       | Train Loss: 2.2692 | Train Acc: 0.1860
 Site-Clipart                       | Train Loss: 2.2831 | Train Acc: 0.1377
 Site-Clipart                       | Train Loss: 2.2864 | Train Acc: 0.1351
 Site-Clipart                       | Train Loss: 2.2693 | Train Acc: 0.1437
 Site-Painting                      | Train Loss: 2.2410 | Train Acc: 0.1967
 Site-Painting                      | Train Loss: 2.2537 | Train Acc: 0.2347
 Site-Painting                      | Train Loss: 2.2707 | Train Acc: 0.1720
 Site-Painting                      | Train Loss: 2.2640 | Train Acc: 0.1865
 Site-Sketch                        | Train Loss: 2.2628 | Train Acc: 0.0882
 Site-Sketch                        | Train Loss: 2.2897 | Train Acc: 0.1364
 Site-Sketch                        | Train Loss: 2.2731 | Train Acc: 0.1534
 Site-Infograph                     | Train Loss: 2.3030 | Train Acc: 0.1176
 Site-Infograph                     | Train Loss: 2.3061 | Train Acc: 0.1176
 Site-QuickDraw                     | Train Loss: 2.2996 | Train Acc: 0.1087
Average Train Accuracy: 0.1621
 Site-Real                          | Val  Loss: 2.2054 | Val  Acc: 0.4000
 Site-Real                          | Val  Loss: 2.2412 | Val  Acc: 0.3750
 Site-Real                          | Val  Loss: 2.2925 | Val  Acc: 0.2308
 Site-Real                          | Val  Loss: 2.3011 | Val  Acc: 0.0476
 Site-Real                          | Val  Loss: 2.2937 | Val  Acc: 0.0571
 Site-Real                          | Val  Loss: 2.2672 | Val  Acc: 0.1607
 Site-Real                          | Val  Loss: 2.2753 | Val  Acc: 0.1573
 Site-Real                          | Val  Loss: 2.2640 | Val  Acc: 0.1608
 Site-Real                          | Val  Loss: 2.2574 | Val  Acc: 0.1834
 Site-Real                          | Val  Loss: 2.2568 | Val  Acc: 0.1989
 Site-Clipart                       | Val  Loss: 2.2511 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.2562 | Val  Acc: 0.2273
 Site-Clipart                       | Val  Loss: 2.2471 | Val  Acc: 0.1389
 Site-Clipart                       | Val  Loss: 2.2714 | Val  Acc: 0.1754
 Site-Clipart                       | Val  Loss: 2.2698 | Val  Acc: 0.1522
 Site-Clipart                       | Val  Loss: 2.2793 | Val  Acc: 0.1486
 Site-Clipart                       | Val  Loss: 2.2833 | Val  Acc: 0.1356
 Site-Painting                      | Val  Loss: 2.2765 | Val  Acc: 0.2195
 Site-Painting                      | Val  Loss: 2.3171 | Val  Acc: 0.1077
 Site-Painting                      | Val  Loss: 2.2591 | Val  Acc: 0.1524
 Site-Painting                      | Val  Loss: 2.2643 | Val  Acc: 0.1726
 Site-Sketch                        | Val  Loss: 2.2826 | Val  Acc: 0.1556
 Site-Sketch                        | Val  Loss: 2.2644 | Val  Acc: 0.1781
 Site-Sketch                        | Val  Loss: 2.2729 | Val  Acc: 0.1709
 Site-Infograph                     | Val  Loss: 2.2700 | Val  Acc: 0.1250
 Site-Infograph                     | Val  Loss: 2.2864 | Val  Acc: 0.1209
 Site-QuickDraw                     | Val  Loss: 2.3244 | Val  Acc: 0.0761
Average Valid Accuracy: 0.1746
 Best site-Real                      | Epoch:0 | Val Acc: 0.4000
 Best site-Real                      | Epoch:0 | Val Acc: 0.3750
 Best site-Real                      | Epoch:0 | Val Acc: 0.2308
 Best site-Real                      | Epoch:0 | Val Acc: 0.0476
 Best site-Real                      | Epoch:0 | Val Acc: 0.0571
 Best site-Real                      | Epoch:0 | Val Acc: 0.1607
 Best site-Real                      | Epoch:0 | Val Acc: 0.1573
 Best site-Real                      | Epoch:0 | Val Acc: 0.1608
 Best site-Real                      | Epoch:0 | Val Acc: 0.1834
 Best site-Real                      | Epoch:0 | Val Acc: 0.1989
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2857
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2273
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1389
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1754
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1522
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1486
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1356
 Best site-Painting                  | Epoch:0 | Val Acc: 0.2195
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1077
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1524
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1726
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1556
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1781
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1709
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1250
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1209
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0761
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/fedmix...
============ Train epoch 1 ============
 Site-Real                          | Train Loss: 2.2607 | Train Acc: 0.1250
 Site-Real                          | Train Loss: 2.2962 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2292 | Train Acc: 0.2000
 Site-Real                          | Train Loss: 2.2264 | Train Acc: 0.3125
 Site-Real                          | Train Loss: 2.2474 | Train Acc: 0.3077
 Site-Real                          | Train Loss: 2.2657 | Train Acc: 0.1905
 Site-Real                          | Train Loss: 2.2554 | Train Acc: 0.2687
 Site-Real                          | Train Loss: 2.2389 | Train Acc: 0.2744
 Site-Real                          | Train Loss: 2.2353 | Train Acc: 0.2638
 Site-Real                          | Train Loss: 2.2373 | Train Acc: 0.2536
 Site-Clipart                       | Train Loss: 2.2646 | Train Acc: 0.2857
 Site-Clipart                       | Train Loss: 2.2490 | Train Acc: 0.1818
 Site-Clipart                       | Train Loss: 2.2419 | Train Acc: 0.1852
 Site-Clipart                       | Train Loss: 2.2737 | Train Acc: 0.1512
 Site-Clipart                       | Train Loss: 2.2525 | Train Acc: 0.1812
 Site-Clipart                       | Train Loss: 2.2628 | Train Acc: 0.1622
 Site-Clipart                       | Train Loss: 2.2553 | Train Acc: 0.1521
 Site-Painting                      | Train Loss: 2.2208 | Train Acc: 0.2459
 Site-Painting                      | Train Loss: 2.2349 | Train Acc: 0.3265
 Site-Painting                      | Train Loss: 2.2480 | Train Acc: 0.1975
 Site-Painting                      | Train Loss: 2.2484 | Train Acc: 0.2341
 Site-Sketch                        | Train Loss: 2.2861 | Train Acc: 0.1029
 Site-Sketch                        | Train Loss: 2.2814 | Train Acc: 0.1364
 Site-Sketch                        | Train Loss: 2.2601 | Train Acc: 0.1818
 Site-Infograph                     | Train Loss: 2.2817 | Train Acc: 0.0941
 Site-Infograph                     | Train Loss: 2.2827 | Train Acc: 0.1176
 Site-QuickDraw                     | Train Loss: 2.2994 | Train Acc: 0.0942
Average Train Accuracy: 0.1967
 Site-Real                          | Val  Loss: 2.2093 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2141 | Val  Acc: 0.3750
 Site-Real                          | Val  Loss: 2.2587 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.2797 | Val  Acc: 0.0952
 Site-Real                          | Val  Loss: 2.2788 | Val  Acc: 0.1143
 Site-Real                          | Val  Loss: 2.2538 | Val  Acc: 0.2321
 Site-Real                          | Val  Loss: 2.2531 | Val  Acc: 0.1910
 Site-Real                          | Val  Loss: 2.2525 | Val  Acc: 0.2378
 Site-Real                          | Val  Loss: 2.2386 | Val  Acc: 0.2489
 Site-Real                          | Val  Loss: 2.2371 | Val  Acc: 0.2916
 Site-Clipart                       | Val  Loss: 2.2391 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.2469 | Val  Acc: 0.2727
 Site-Clipart                       | Val  Loss: 2.2375 | Val  Acc: 0.1944
 Site-Clipart                       | Val  Loss: 2.2494 | Val  Acc: 0.2632
 Site-Clipart                       | Val  Loss: 2.2600 | Val  Acc: 0.0978
 Site-Clipart                       | Val  Loss: 2.2588 | Val  Acc: 0.1757
 Site-Clipart                       | Val  Loss: 2.2697 | Val  Acc: 0.1610
 Site-Painting                      | Val  Loss: 2.2601 | Val  Acc: 0.2439
 Site-Painting                      | Val  Loss: 2.3119 | Val  Acc: 0.2154
 Site-Painting                      | Val  Loss: 2.2431 | Val  Acc: 0.2571
 Site-Painting                      | Val  Loss: 2.2433 | Val  Acc: 0.2560
 Site-Sketch                        | Val  Loss: 2.2589 | Val  Acc: 0.2444
 Site-Sketch                        | Val  Loss: 2.2443 | Val  Acc: 0.1781
 Site-Sketch                        | Val  Loss: 2.2575 | Val  Acc: 0.1709
 Site-Infograph                     | Val  Loss: 2.2613 | Val  Acc: 0.2321
 Site-Infograph                     | Val  Loss: 2.2823 | Val  Acc: 0.1319
 Site-QuickDraw                     | Val  Loss: 2.3212 | Val  Acc: 0.0652
Average Valid Accuracy: 0.2069
 Best site-Real                      | Epoch:1 | Val Acc: 0.2000
 Best site-Real                      | Epoch:1 | Val Acc: 0.3750
 Best site-Real                      | Epoch:1 | Val Acc: 0.1538
 Best site-Real                      | Epoch:1 | Val Acc: 0.0952
 Best site-Real                      | Epoch:1 | Val Acc: 0.1143
 Best site-Real                      | Epoch:1 | Val Acc: 0.2321
 Best site-Real                      | Epoch:1 | Val Acc: 0.1910
 Best site-Real                      | Epoch:1 | Val Acc: 0.2378
 Best site-Real                      | Epoch:1 | Val Acc: 0.2489
 Best site-Real                      | Epoch:1 | Val Acc: 0.2916
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.2857
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.2727
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1944
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.2632
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.0978
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1757
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1610
 Best site-Painting                  | Epoch:1 | Val Acc: 0.2439
 Best site-Painting                  | Epoch:1 | Val Acc: 0.2154
 Best site-Painting                  | Epoch:1 | Val Acc: 0.2571
