===2023-06-29 02:12:42===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 2.2889 | Train Acc: 0.1250
 Site-Real                          | Train Loss: 2.3545 | Train Acc: 0.0000
 Site-Real                          | Train Loss: 2.2436 | Train Acc: 0.1500
 Site-Real                          | Train Loss: 2.2404 | Train Acc: 0.2812
 Site-Real                          | Train Loss: 2.2644 | Train Acc: 0.2885
 Site-Real                          | Train Loss: 2.2931 | Train Acc: 0.1310
 Site-Real                          | Train Loss: 2.2328 | Train Acc: 0.2090
 Site-Real                          | Train Loss: 2.2602 | Train Acc: 0.2047
 Site-Real                          | Train Loss: 2.2629 | Train Acc: 0.1768
 Site-Real                          | Train Loss: 2.2603 | Train Acc: 0.1938
 Site-Clipart                       | Train Loss: 2.2644 | Train Acc: 0.2381
 Site-Clipart                       | Train Loss: 2.2712 | Train Acc: 0.1818
 Site-Clipart                       | Train Loss: 2.2690 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.2621 | Train Acc: 0.1512
 Site-Clipart                       | Train Loss: 2.2612 | Train Acc: 0.1087
 Site-Clipart                       | Train Loss: 2.2819 | Train Acc: 0.1126
 Site-Clipart                       | Train Loss: 2.2705 | Train Acc: 0.1521
 Site-Painting                      | Train Loss: 2.2441 | Train Acc: 0.1967
 Site-Painting                      | Train Loss: 2.2467 | Train Acc: 0.2143
 Site-Painting                      | Train Loss: 2.2620 | Train Acc: 0.2102
 Site-Painting                      | Train Loss: 2.2699 | Train Acc: 0.1587
 Site-Sketch                        | Train Loss: 2.2775 | Train Acc: 0.1324
 Site-Sketch                        | Train Loss: 2.2845 | Train Acc: 0.1273
 Site-Sketch                        | Train Loss: 2.2747 | Train Acc: 0.1250
 Site-Infograph                     | Train Loss: 2.2969 | Train Acc: 0.1294
 Site-Infograph                     | Train Loss: 2.2805 | Train Acc: 0.1103
 Site-QuickDraw                     | Train Loss: 2.3152 | Train Acc: 0.0942
Average Train Accuracy: 0.1618
 Site-Real                          | Val  Loss: 2.2235 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2336 | Val  Acc: 0.3750
 Site-Real                          | Val  Loss: 2.2992 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.3018 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.2866 | Val  Acc: 0.0857
 Site-Real                          | Val  Loss: 2.2731 | Val  Acc: 0.1607
 Site-Real                          | Val  Loss: 2.2732 | Val  Acc: 0.1798
 Site-Real                          | Val  Loss: 2.2612 | Val  Acc: 0.1748
 Site-Real                          | Val  Loss: 2.2631 | Val  Acc: 0.1528
 Site-Real                          | Val  Loss: 2.2609 | Val  Acc: 0.1962
 Site-Clipart                       | Val  Loss: 2.2873 | Val  Acc: 0.2143
 Site-Clipart                       | Val  Loss: 2.2734 | Val  Acc: 0.2727
 Site-Clipart                       | Val  Loss: 2.2466 | Val  Acc: 0.2222
 Site-Clipart                       | Val  Loss: 2.2760 | Val  Acc: 0.1404
 Site-Clipart                       | Val  Loss: 2.2724 | Val  Acc: 0.0761
 Site-Clipart                       | Val  Loss: 2.2743 | Val  Acc: 0.1554
 Site-Clipart                       | Val  Loss: 2.2766 | Val  Acc: 0.1229
 Site-Painting                      | Val  Loss: 2.2797 | Val  Acc: 0.2439
 Site-Painting                      | Val  Loss: 2.3179 | Val  Acc: 0.1692
 Site-Painting                      | Val  Loss: 2.2617 | Val  Acc: 0.1905
 Site-Painting                      | Val  Loss: 2.2672 | Val  Acc: 0.1905
 Site-Sketch                        | Val  Loss: 2.2793 | Val  Acc: 0.2222
 Site-Sketch                        | Val  Loss: 2.2420 | Val  Acc: 0.1507
 Site-Sketch                        | Val  Loss: 2.2671 | Val  Acc: 0.1795
 Site-Infograph                     | Val  Loss: 2.2666 | Val  Acc: 0.1964
 Site-Infograph                     | Val  Loss: 2.2919 | Val  Acc: 0.1099
 Site-QuickDraw                     | Val  Loss: 2.3141 | Val  Acc: 0.0652
Average Valid Accuracy: 0.1704
 Best site-Real                      | Epoch:0 | Val Acc: 0.2000
 Best site-Real                      | Epoch:0 | Val Acc: 0.3750
 Best site-Real                      | Epoch:0 | Val Acc: 0.1538
 Best site-Real                      | Epoch:0 | Val Acc: 0.0000
 Best site-Real                      | Epoch:0 | Val Acc: 0.0857
 Best site-Real                      | Epoch:0 | Val Acc: 0.1607
 Best site-Real                      | Epoch:0 | Val Acc: 0.1798
 Best site-Real                      | Epoch:0 | Val Acc: 0.1748
 Best site-Real                      | Epoch:0 | Val Acc: 0.1528
 Best site-Real                      | Epoch:0 | Val Acc: 0.1962
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2143
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2727
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2222
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1404
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0761
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1554
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1229
 Best site-Painting                  | Epoch:0 | Val Acc: 0.2439
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1692
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1905
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1905
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.2222
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1507
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1795
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1964
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1099
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0652
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/afl...
============ Train epoch 1 ============
 Site-Real                          | Train Loss: 2.2405 | Train Acc: 0.3750
 Site-Real                          | Train Loss: 2.3119 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2298 | Train Acc: 0.2000
 Site-Real                          | Train Loss: 2.2142 | Train Acc: 0.3438
 Site-Real                          | Train Loss: 2.2396 | Train Acc: 0.2885
 Site-Real                          | Train Loss: 2.2760 | Train Acc: 0.1905
 Site-Real                          | Train Loss: 2.2362 | Train Acc: 0.2985
 Site-Real                          | Train Loss: 2.2375 | Train Acc: 0.2419
 Site-Real                          | Train Loss: 2.2404 | Train Acc: 0.2348
 Site-Real                          | Train Loss: 2.2434 | Train Acc: 0.2446
 Site-Clipart                       | Train Loss: 2.2433 | Train Acc: 0.2381
 Site-Clipart                       | Train Loss: 2.2513 | Train Acc: 0.1515
 Site-Clipart                       | Train Loss: 2.2309 | Train Acc: 0.2593
 Site-Clipart                       | Train Loss: 2.2658 | Train Acc: 0.1860
 Site-Clipart                       | Train Loss: 2.2668 | Train Acc: 0.1449
 Site-Clipart                       | Train Loss: 2.2594 | Train Acc: 0.1757
 Site-Clipart                       | Train Loss: 2.2581 | Train Acc: 0.1606
 Site-Painting                      | Train Loss: 2.2143 | Train Acc: 0.2951
 Site-Painting                      | Train Loss: 2.2333 | Train Acc: 0.2857
 Site-Painting                      | Train Loss: 2.2333 | Train Acc: 0.2994
 Site-Painting                      | Train Loss: 2.2526 | Train Acc: 0.2183
 Site-Sketch                        | Train Loss: 2.2382 | Train Acc: 0.1176
 Site-Sketch                        | Train Loss: 2.2605 | Train Acc: 0.1727
 Site-Sketch                        | Train Loss: 2.2617 | Train Acc: 0.1818
 Site-Infograph                     | Train Loss: 2.2837 | Train Acc: 0.1059
 Site-Infograph                     | Train Loss: 2.2808 | Train Acc: 0.1838
 Site-QuickDraw                     | Train Loss: 2.3167 | Train Acc: 0.1522
Average Train Accuracy: 0.2159
 Site-Real                          | Val  Loss: 2.1919 | Val  Acc: 0.4000
 Site-Real                          | Val  Loss: 2.2308 | Val  Acc: 0.3750
 Site-Real                          | Val  Loss: 2.2654 | Val  Acc: 0.2308
 Site-Real                          | Val  Loss: 2.2870 | Val  Acc: 0.1429
 Site-Real                          | Val  Loss: 2.2747 | Val  Acc: 0.1429
 Site-Real                          | Val  Loss: 2.2547 | Val  Acc: 0.2321
 Site-Real                          | Val  Loss: 2.2507 | Val  Acc: 0.2135
 Site-Real                          | Val  Loss: 2.2445 | Val  Acc: 0.2098
 Site-Real                          | Val  Loss: 2.2394 | Val  Acc: 0.2402
 Site-Real                          | Val  Loss: 2.2366 | Val  Acc: 0.2698
 Site-Clipart                       | Val  Loss: 2.2505 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.2435 | Val  Acc: 0.3182
 Site-Clipart                       | Val  Loss: 2.2456 | Val  Acc: 0.1389
 Site-Clipart                       | Val  Loss: 2.2575 | Val  Acc: 0.1754
