===2023-06-30 00:57:41===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 1.1931 | Train Acc: 0.8333
 Site-USPS                          | Train Loss: 1.3321 | Train Acc: 0.7500
 Site-USPS                          | Train Loss: 1.5568 | Train Acc: 0.7143
 Site-USPS                          | Train Loss: 1.3936 | Train Acc: 0.7632
 Site-USPS                          | Train Loss: 1.2846 | Train Acc: 0.7714
 Site-USPS                          | Train Loss: 1.3546 | Train Acc: 0.8095
 Site-USPS                          | Train Loss: 1.4079 | Train Acc: 0.7225
 Site-USPS                          | Train Loss: 1.3835 | Train Acc: 0.7897
 Site-USPS                          | Train Loss: 1.3645 | Train Acc: 0.7948
 Site-USPS                          | Train Loss: 1.3496 | Train Acc: 0.8038
 Site-MNIST                         | Train Loss: 1.5641 | Train Acc: 0.6500
 Site-MNIST                         | Train Loss: 1.4383 | Train Acc: 0.7361
 Site-MNIST                         | Train Loss: 1.4981 | Train Acc: 0.6744
 Site-MNIST                         | Train Loss: 1.5399 | Train Acc: 0.7511
 Site-MNIST                         | Train Loss: 1.6032 | Train Acc: 0.6667
 Site-MNIST                         | Train Loss: 1.5873 | Train Acc: 0.6534
 Site-SynthDigits                   | Train Loss: 2.0515 | Train Acc: 0.4106
 Site-SynthDigits                   | Train Loss: 2.0667 | Train Acc: 0.3736
 Site-SynthDigits                   | Train Loss: 2.0157 | Train Acc: 0.4073
 Site-SVHN                          | Train Loss: 2.2243 | Train Acc: 0.1768
 Site-SVHN                          | Train Loss: 2.1960 | Train Acc: 0.2324
 Site-MNIST_M                       | Train Loss: 2.1957 | Train Acc: 0.2553
Average Train Accuracy: 0.6246
 Site-USPS                          | Val  Loss: 2.4989 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.0148 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 1.6879 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 1.3722 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 1.3934 | Val  Acc: 0.8824
